fpr,tpr,threshold,tag,artifact_source
0.615385,0.88785,0.458,MEASURED-devbox,"06_analysis/data/decisions_146_k8.jsonl split by 06_analysis/scripts/subsystem_match.is_in_corpus; deterministic, no model calls; recomputed 2026-09-09"
0.615385,0.897196,0.455,MEASURED-devbox,"06_analysis/data/decisions_146_k8.jsonl split by 06_analysis/scripts/subsystem_match.is_in_corpus; deterministic, no model calls; recomputed 2026-09-09"
0.641026,0.897196,0.452,MEASURED-devbox,"06_analysis/data/decisions_146_k8.jsonl split by 06_analysis/scripts/subsystem_match.is_in_corpus; deterministic, no model calls; recomputed 2026-09-09"
0.641026,0.906542,0.45,MEASURED-devbox,"06_analysis/data/decisions_146_k8.jsonl split by 06_analysis/scripts/subsystem_match.is_in_corpus; deterministic, no model calls; recomputed 2026-09-09"
0.666667,0.906542,0.444,MEASURED-devbox,"06_analysis/data/decisions_146_k8.jsonl split by 06_analysis/scripts/subsystem_match.is_in_corpus; deterministic, no model calls; recomputed 2026-09-09"
0.692308,0.906542,0.436,MEASURED-devbox,"06_analysis/data/decisions_146_k8.jsonl split by 06_analysis/scripts/subsystem_match.is_in_corpus; deterministic, no model calls; recomputed 2026-09-09"
0.717949,0.906542,0.435,MEASURED-devbox,"06_analysis/data/decisions_146_k8.jsonl split by 06_analysis/scripts/subsystem_match.is_in_corpus; deterministic, no model calls; recomputed 2026-09-09"
0.74359,0.906542,0.429,MEASURED-devbox,"06_analysis/data/decisions_146_k8.jsonl split by 06_analysis/scripts/subsystem_match.is_in_corpus; deterministic, no model calls; recomputed 2026-09-09"
0.794872,0.925234,0.417,MEASURED-devbox,"06_analysis/data/decisions_146_k8.jsonl split by 06_analysis/scripts/subsystem_match.is_in_corpus; deterministic, no model calls; recomputed 2026-09-09"
0.820513,0.925234,0.412,MEASURED-devbox,"06_analysis/data/decisions_146_k8.jsonl split by 06_analysis/scripts/subsystem_match.is_in_corpus; deterministic, no model calls; recomputed 2026-09-09"
0.871795,0.934579,0.4,MEASURED-devbox,"06_analysis/data/decisions_146_k8.jsonl split by 06_analysis/scripts/subsystem_match.is_in_corpus; deterministic, no model calls; recomputed 2026-09-09"
0.897436,0.943925,0.389,MEASURED-devbox,"06_analysis/data/decisions_146_k8.jsonl split by 06_analysis/scripts/subsystem_match.is_in_corpus; deterministic, no model calls; recomputed 2026-09-09"
0.923077,0.953271,0.375,MEASURED-devbox,"06_analysis/data/decisions_146_k8.jsonl split by 06_analysis/scripts/subsystem_match.is_in_corpus; deterministic, no model calls; recomputed 2026-09-09"
0.923077,0.962617,0.368,MEASURED-devbox,"06_analysis/data/decisions_146_k8.jsonl split by 06_analysis/scripts/subsystem_match.is_in_corpus; deterministic, no model calls; recomputed 2026-09-09"
0.923077,0.971963,0.353,MEASURED-devbox,"06_analysis/data/decisions_146_k8.jsonl split by 06_analysis/scripts/subsystem_match.is_in_corpus; deterministic, no model calls; recomputed 2026-09-09"
0.923077,0.981308,0.35,MEASURED-devbox,"06_analysis/data/decisions_146_k8.jsonl split by 06_analysis/scripts/subsystem_match.is_in_corpus; deterministic, no model calls; recomputed 2026-09-09"
0.974359,0.981308,0.286,MEASURED-devbox,"06_analysis/data/decisions_146_k8.jsonl split by 06_analysis/scripts/subsystem_match.is_in_corpus; deterministic, no model calls; recomputed 2026-09-09"
1.0,0.981308,0.27,MEASURED-devbox,"06_analysis/data/decisions_146_k8.jsonl split by 06_analysis/scripts/subsystem_match.is_in_corpus; deterministic, no model calls; recomputed 2026-09-09"
1.0,0.990654,0.267,MEASURED-devbox,"06_analysis/data/decisions_146_k8.jsonl split by 06_analysis/scripts/subsystem_match.is_in_corpus; deterministic, no model calls; recomputed 2026-09-09"
1.0,1.0,0.263,MEASURED-devbox,"06_analysis/data/decisions_146_k8.jsonl split by 06_analysis/scripts/subsystem_match.is_in_corpus; deterministic, no model calls; recomputed 2026-09-09"
1.0,1.0,-inf,MEASURED-devbox,"06_analysis/data/decisions_146_k8.jsonl split by 06_analysis/scripts/subsystem_match.is_in_corpus; deterministic, no model calls; recomputed 2026-09-09"
